,CXSMILES,Set,pIC50 (MERS-CoV Mpro),pIC50 (SARS-CoV-2 Mpro)
381,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=C(O)C=C2)C1 |&1:16|,Train,4.25,4.55
382,O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2C[C@H]1C1=CC=CC=C1 |&1:22|,Train,4.79,5.49
383,O=C(CC1=CN=CC2=CC=CC=C12)N(CCC(F)(F)F)CC1=CC=CC=C1,Train,5.02,4.78
384,CC(C)CCN(CC1=CC=CC=C1)C(=O)CC1=CN=CC2=CC=CC=C12,Train,5.24,5.13
385,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=C(F)C=C1)CC1CC1,Train,4.65,4.99
386,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=CC=NC=C2)CC1 |&1:17|,Train,4.25,
387,C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N1CCCCC1 |&1:6|,Train,4.34,4.99
388,O=C(CC1=CN=CC2=CC=CC=C12)NC1=CC=CC=C1,Train,4.29,4.0
389,N#CC1=CC=CC(NC(=O)CC2=CN=CC3=CC=CC=C23)=C1,Train,4.25,4.5
390,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCN2C=CC=C2C1,Train,4.67,4.51
391,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC=C1)C1CCC1,Train,4.81,5.13
392,"C[C@H](C(=O)N1CCC[C@H]2CCC(F)(F)C[C@@H]21)C1=CN=CC2=CC=CC=C12 |&1:1,&2:8,15|",Train,4.0,
393,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCCCC[C@H]1C1=CC=CC=C1 |&1:20|,Train,5.59,5.27
394,CN(C)C(=O)CN(CC1=CC=CC=C1)C(=O)CC1=CN=CC2=CC=CC=C12,Train,4.92,4.55
395,O=C(CC1=CN=CC2=CC=CC=C12)N(CCC(F)(F)F)C1CCCCC1,Train,4.33,4.18
396,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC(F)=CC=C1F)C1CCCC1,Train,5.14,5.95
397,CN(C)CCN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,Train,4.21,4.67
398,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC=C1)[C@H]1CCCC12CCC2 |&1:21|,Train,4.72,4.95
399,C[C@H](O)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:6|,Train,4.21,5.31
400,C[C@H](O)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:6|,Train,5.5,6.86
401,CN(C)C1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)N=C1,Train,5.36,6.5
402,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C3=CC=CC=C32)C2=CC(F)=CC=C2C1=O |o1:7|,Train,4.46,4.55
403,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C3=CC=CC=C32)C2=CC(F)=CC=C2C1=O |o1:7|,Train,5.67,6.87
404,O=C(NCC1=CC=CS1)[C@@H]1CN(C(=O)C2=CN=CC3=CC=CC=C23)CCN1C1=CC=C(Cl)C(Cl)=C1,Train,5.44,7.89
405,"CNC(=O)CN1C[C@@]2(C[C@H](CO)N(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |&1:7,9|",Train,4.73,6.31
406,C[C@@H](O)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:6|,Train,4.74,4.78
407,CNC(=O)[C@@H](C)N1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:8|,Train,5.96,7.43
408,CNC(=O)[C@@H](C)N1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:8|,Train,4.52,5.98
409,C[C@@H](O)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:6|,Train,5.52,6.84
410,CNC(=O)[C@H](C)N1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:8|,Train,5.11,6.69
411,CNC(=O)[C@H](C)N1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:8|,Train,5.68,7.11
412,CNCCN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |&1:6|,Train,5.48,6.96
413,C[C@@H](C(=O)N(C)CC1=CC=CC(Cl)=C1F)C1=CN=CC2=CC=CC=C12,Train,3.88,
414,CO[C@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:7|,Train,5.73,6.74
415,CO[C@@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:7|,Train,,4.33
416,CO[C@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:7|,Train,5.4,6.44
417,CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1CC1=CC=CC(F)=C1 |&1:4|,Train,4.44,5.95
418,"O=C(COS(=O)(=O)N1CCOCC1)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CCCC[C@H]21 |&1:25,&2:30|",Train,4.79,5.88
419,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C/C2=C\F)C2=CC(Cl)=CC=C2C1=O |&1:7|,Train,5.06,6.75
420,CC(=O)N1CCN(S(=O)(=O)OCC(=O)N2CCN(CC3=CC=CC(Cl)=C3)[C@H](CC(C)C)C2)CC1 |&1:26|,Train,4.77,7.14
421,C=C1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@]12CN(CC1=CC=C(OC)C=C1OC)C(=O)C1=CC=C(F)C=C12 |&1:16|,Train,5.28,7.0
422,CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1CC1=CC(Cl)=CC2=CC=CC=C12 |&1:4|,Train,5.09,6.79
423,"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCCCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:43|",Train,5.89,7.23
424,"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCCCCCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:45|",Train,5.03,6.81
425,"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCOCCOCCOCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:49|",Train,5.42,6.47
426,CN[C@@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |&1:7|,Train,5.42,6.79
427,"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCOCCOCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:46|",Train,4.94,5.9
428,"O=C1CC[C@H](N2C(=O)C3=CC=C(N4CCN(C5=CC=C(NC(=O)CN6CC7=CC=C(Cl)C=C7[C@H](C(=O)NC7=CN=CC8=CC=CC=C78)C6)C=C5)CC4)C=C3C2=O)C(=O)N1 |&1:4,&2:33|",Train,4.89,7.09
429,"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCOCCOCCOCCOCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:52|",Train,5.41,6.35
430,"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCOCCOCCOCCNC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:49|",Train,5.05,6.14
431,"O=C(COS(=O)(=O)N1CCOCC1)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:25,31|",Train,4.67,6.62
432,CN1C(=O)C2=CC=C(Cl)C=C2[C@]12CCN(C1=CN=CC3=CC=CC=C13)C2=O |&1:11|,Train,3.43,4.73
433,O=C1N[C@]2(CCOC3=CC=C(C(F)F)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:3|,Train,4.76,5.44
434,C=CC(=O)NC1=CC=CC(N(CC2=CC=CC(C3=COC=C3)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,Train,5.58,4.81
435,C=CC(=O)NC1=CC=CC(N(CC2=CC=CC(C3=CC=CC=C3)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,Train,4.96,
436,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(Cl)=C1)C12CC(C1)N(CC1COC1)C2,Train,4.17,5.4
437,C=CC(=O)N1CCC2=C1C=CC=C2N(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,Train,5.42,5.08
438,C=CC(=O)N(C)C1=CC=CC(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,Train,6.23,5.76
439,C=CC(=O)NC1=CC=CC(N(CC2=CC=C(Cl)C=C2Cl)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,Train,4.99,4.22
440,C=CC(=O)NC1=CC=CC(N(CC2=CC(Cl)=CC=C2Cl)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,Train,5.05,4.79
441,C=CC(=O)NC1=CC=C(F)C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,Train,5.68,5.28
442,CN1C(=O)[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C21 |o1:4|,Train,4.34,4.04
443,CN1C(=O)[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C21 |o1:4|,Train,5.24,6.38
444,O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(Cl)=C1)C12CC(C1)N(C1CC1)C2,Train,4.27,5.31
445,"O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(Cl)=C1)[C@]12CC[C@H](C1)N(CC1COC1)C2 |&1:22,&2:25|",Train,4.03,4.7
446,CNC(=O)C1(N2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC(Cl)=CC=C3C2=O)CC1,Train,6.44,8.04
447,CC(=O)C1=CC=CC(CN2CCN(C(=O)COS(=O)(=O)N3CCOCC3)C[C@H]2CC(C)C)=C1 |&1:27|,Train,4.45,6.13
448,C=CC(=O)NC1=CC=CC(N(CC2=CC=CC3=C2OC=C3)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,Train,5.28,4.77
449,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NC(C)(C)C)C(=O)C1=CC=C(Cl)C=C12,Train,5.12,6.19
450,O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC(F)=C2OC2=CC=CC=C21,Train,4.61,5.26
451,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CC#N)C2=CC(F)=CC=C2C1=O,Train,5.58,6.77
452,CC(C)NC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O,Train,5.44,6.53
453,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1CC1)C(=O)C1=CC=C(Cl)C=C12,Train,6.16,7.23
454,CC1=C(NC(=O)[C@H](CB2OC(C)(C)C(C)(C)O2)NC(=O)OC(C)(C)C)C=CC(Br)=C1Cl |&1:6|,Train,6.94,
455,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN1CC(=O)NN=C1C1=CC=C(Cl)C=C12,Train,5.64,6.35
456,N#CC1=CC=C2C(=C1)OC1=C(Cl)C=CC=C1CN2C(=O)CC1=CN=CC2=CC=CC=C12,Train,5.12,
457,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1CC1=CC=CC=C1 |&1:18|,Train,4.61,4.51
458,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](COC2=CC=CC=C2)C1 |&1:16|,Train,4.28,4.1
459,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2CCC2)CC1,Train,4.0,5.67
460,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2(CCC2)C1,Train,3.56,4.56
461,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(C2CCCCC2)C1,Train,4.59,4.74
462,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2(CCC2)CC1,Train,5.13,5.79
463,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCCF)C2=CC(F)=CC=C2C1=O,Train,5.59,6.96
464,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2=C(C=CS2)C1,Train,4.58,5.84
465,CC[C@H]1C2=C(CCN1C(=O)CC1=CN=CC3=CC=CC=C13)SC=C2 |&1:2|,Train,5.38,6.28
466,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CC=CC=C2)CC1,Train,4.31,4.49
467,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NC(C)(C)C)C(=O)C1=CC=C(F)C=C12,Train,5.11,6.53
468,COC1=CC=CC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:7|,Train,4.31,4.43
469,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CC2CC2)C1 |&1:17|,Train,4.03,4.82
470,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1CCC1 |&1:17|,Train,4.56,5.15
471,CC(C)(C#N)C1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,Train,5.21,6.2
472,N#CCC1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,Train,5.99,6.03
473,COC1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,Train,5.65,5.92
474,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](N2C=NC=N2)C1 |&1:16|,Train,4.27,
475,CC1=NN(C2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)C=C1,Train,4.28,
476,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)CCC(F)(F)C2,Train,3.88,5.43
477,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CC=CC(F)=C2)CC1,Train,4.31,4.71
478,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=C(Cl)C=C2)C1 |&1:16|,Train,4.3,4.25
479,CC1=CC=C(C[C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:6|,Train,3.7,4.55
480,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=C(C(F)F)C=C2)C1 |&1:16|,Train,4.33,4.18
481,O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2[C@H](C2=CC=CS2)C1 |&1:21|,Train,3.7,4.56
482,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCCC2=CC=CC=C2C1,Train,4.45,5.24
483,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC([C@H](F)C2=CC=CC=C2F)CC1 |&1:17|,Train,4.28,4.5
484,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2CCCCC2)C1 |&1:16|,Train,3.7,5.26
485,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=CC=CC=C2)C1 |&1:17|,Train,4.92,4.74
486,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=NC=CO2)C1 |&1:17|,Train,4.3,4.12
487,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2CCCC2)CC1,Train,4.89,5.35
488,O=C1CCCN1C[C@@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12,Train,4.32,
489,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC=C1 |&1:17|,Train,4.24,4.99
490,CN(C)C1=CC=CC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |&1:8|,Train,4.21,4.34
491,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC(F)=CC(F)=C1 |&1:17|,Train,3.6,5.73
492,CC(C)NC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(F)=CC=C2C1=O,Train,5.28,6.65
493,O=C(CC1=CN=CC2=CC=CC=C12)N1CCSC[C@H]1C1=CC=CS1 |&1:18|,Train,4.63,5.27
494,O=C([C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12)N1CCSCC1 |&1:2|,Train,4.35,
495,O=C(CC1=CN=CC2=CC=CC=C12)N1CCS[C@H](C2=CC=CC=C2)C1 |&1:17|,Train,4.88,4.81
496,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCSC[C@H]1C(F)(F)F |&1:19|,Train,4.04,4.36
497,C=CC(=O)NC1=CC=CC(N(CC2=CC=CC3=C2SC=C3)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,Train,5.29,4.55
498,"C[C@H](CO)C[C@H]1CN(C(=O)CO)CCN1CC1=CC=CC(Cl)=C1 |&1:1,&2:5|",Train,8.62,
499,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1CC1 |&1:17|,Train,4.6,4.88
500,C[C@]1(C2=CC=CN=C2)CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1|,Train,4.26,
501,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CN=CS1 |&1:18|,Train,4.24,4.49
502,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2(CCCC2)C1,Train,4.0,4.98
503,CC1=CC=C([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C=C1 |&1:5|,Train,4.66,4.32
504,CN1C=CC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:5|,Train,4.26,
505,"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C[C@H]2CCCO2)C1 |&1:16,&2:18|",Train,4.25,
506,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2CCC2)C1 |&1:16|,Train,4.05,5.03
507,O=C(CC1=CN=CC2=CC=CC=C12)N1CCO[C@H](C2=CSC=C2)C1 |&1:17|,Train,4.32,4.56
508,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(CCC2=CC=CC=C2)C1,Train,4.29,4.54
509,CN1C=C([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)C=N1 |&1:4|,Train,4.24,
510,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](N2C=CC=N2)C1 |&1:17|,Train,4.35,4.2
511,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CC2=NC=CC=N2)C1 |&1:17|,Train,9.0,
512,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCN2C3=CC=CC=C3C[C@H]2C1 |&1:25|,Train,4.44,4.84
513,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](N2C=CC=N2)C1 |&1:16|,Train,4.3,
514,CN1N=CC=C1[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:6|,Train,4.44,4.26
515,O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC=C1 |&1:18|,Train,5.18,5.11
516,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2CCC2)C1 |&1:17|,Train,4.05,5.17
517,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1CCCC1 |&1:17|,Train,4.53,5.59
518,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CC(F)(F)F)C1 |&1:17|,Train,4.07,4.99
519,O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](CF)C2(CCCC2)C1 |&1:15|,Train,4.39,5.43
520,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2=CC(F)=CC=C2F)CC1,Train,4.29,4.27
521,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=CC=N1 |&1:17|,Train,4.03,4.11
522,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](F)[C@H](C2=CC=CC=C2)C1 |&1:15,17|",Train,4.05,4.76
523,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@@H]1CCC1=CC=CC=N1,Train,4.29,
524,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=C(O)C=C2)C1 |&1:16|,Train,4.31,4.06
525,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@](F)(C2=CC=CC=C2)C1 |&1:17|,Train,4.85,4.55
526,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(F)(C2=CC=CC=C2)CC1,Train,3.84,4.63
527,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=NC=CO2)C1 |&1:16|,Train,4.25,4.02
528,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=CC(Cl)=C2)C1 |&1:16|,Train,4.04,4.98
529,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CCC(F)(F)F)C1 |&1:17|,Train,4.64,4.76
530,CC1=NC=CC([C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:6|,Train,4.27,
531,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(CC2CCC2)C1,Train,4.74,4.94
532,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC(Cl)=C2)C1 |&1:16|,Train,3.97,5.04
533,CC1=CC=NC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:6|,Train,4.28,4.06
534,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCCCC2)CC1,Train,4.59,5.99
535,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CN=CO2)CC1,Train,4.29,4.4
536,CC1=NNC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:5|,Train,9.0,
537,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=CN=CO2)C1 |&1:17|,Train,4.29,4.06
538,N#CC1=CC=C2C(=C1)OC1=C(F)C=CC=C1CN2C(=O)CC1=CN=CC2=CC=CC=C12,Train,4.99,4.81
539,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2CCC2)CC1,Train,4.39,4.97
540,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CC=CS2)CC1,Train,4.49,4.86
541,O=C1NC2=CC=C(Cl)C=C2[C@]12CCN(C1=CN=CC3=CC=CC=C13)C2=O |o1:10|,Train,5.59,6.44
542,O=C1NC2=CC=C(Cl)C=C2[C@]12CCN(C1=CN=CC3=CC=CC=C13)C2=O |o1:10|,Train,4.3,4.05
543,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](OCC2=CC=CC=C2)C1 |&1:16|,Train,4.27,
544,"C[C@H](CO)C[C@H]1CN(C(=O)CCl)CCN1CC1=CC=CC(Cl)=C1 |&1:1,&2:5|",Train,4.23,6.32
545,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NC1CCC1)C(=O)C1=CC=C(F)C=C12,Train,5.6,6.76
546,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NC1COC1)C(=O)C1=CC=C(Cl)C=C12,Train,5.7,6.77
547,CC1=CC(O[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=CC=N1 |&1:5|,Train,4.25,
548,CN1CCC[C@]12CCCN(C(=O)CC1=CN=CC3=CC=CC=C13)C2 |&1:5|,Train,6.69,
549,"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1N1C=CN=C1 |&1:1,&2:19|",Train,4.32,
550,O=C(CC1=CN=CC2=CC=CC=C12)N1CCSC[C@H]1C1CCC1 |&1:18|,Train,3.97,4.61
551,"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](F)C[C@H]1C1=CC=CC=C1 |&1:15,&2:18|",Train,4.09,4.77
552,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](N2C=CN=C2)C1 |&1:16|,Train,4.25,
553,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1(F)CC1)C(=O)C1=CC=C(Cl)C=C12,Train,5.76,7.03
554,CC1=CC=C(O[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)C=N1 |&1:6|,Train,4.27,
555,O=C([C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12)N1CCCCCC1 |&1:2|,Train,4.34,
556,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CN2C=CN=N2)C1 |&1:17|,Train,4.25,
557,O=C(CC1=CN=CC2=CC=CC=C12)N1CC(CC2=CC=NC=C2)C1,Train,9.0,
558,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=NC=C2)C1 |&1:16|,Train,4.26,
559,"CC[C@H](C1=CC=CC=C1)[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,&2:9|",Train,4.52,4.92
560,CC1=CSC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=N1 |&1:5|,Train,4.97,4.32
561,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](N2C=NC=N2)C1 |&1:17|,Train,4.28,
562,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CN=C2)C1 |&1:16|,Train,4.27,4.1
563,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=CN=C1 |&1:17|,Train,4.55,
564,CC1=CSC([C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:5|,Train,4.25,4.19
565,CC1=CSC(N2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)=N1,Train,4.28,
566,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C(=O)N2CCCCC2)C1 |&1:17|,Train,4.28,
